113	喜欢	喜歡	xi3huan5	xǐhuan	to like	1	0	0	0	0
114	下	下	xia4	xià	fall; below	1	0	0	0	0
115	下午	下午	xia4wu3	xiàwǔ	afternoon	1	0	0	0	0
116	下雨	下雨	xia4yu3	xiàyǔ	to rain	1	0	0	0	0
117	先生	先生	xian1sheng5	xiānsheng	Mr.; Sir	1	0	0	0	0
118	现在	現在	xian4zai4	xiànzài	now	1	0	0	0	0
119	想	想	xiang3	xiǎng	think; believe; suppose; would like to	1	0	0	0	0
120	小	小	xiao3	xiǎo	small; young	1	0	0	0	0
121	小姐	小姐	xiao3jie5	xiǎojie	young lady; miss; Ms.	1	0	0	0	0
122	些	些	xie1	xiē	some; few; several	1	0	0	0	0
123	写	寫	xie3	xiě	to write; to compose	1	0	0	0	0
124	谢谢	謝謝	xie4xie5	xièxie	thank you	1	0	0	0	0
125	星期	星期	xing1qi1	xīngqī	week	1	0	0	0	0
126	学生	學生	xue2sheng5	xuésheng	student	1	0	0	0	0
127	学习	學習	xue2xi2	xuéxí	learn; to study	1	0	0	0	0
128	学校	學校	xue2xiao4	xuéxiào	school	1	0	0	0	0
129	一	一	yi1	yī	one; once; a	1	0	0	0	0
130	衣服	衣服	yi1fu5	yīfu	clothes	1	0	0	0	0
131	医生	醫生	yi1sheng1	yīshēng	doctor	1	0	0	0	0
132	医院	醫院	yi1yuan4	yīyuàn	hospital	1	0	0	0	0
133	椅子	椅子	yi3zi5	yǐzi	chair	1	0	0	0	0
134	一点儿	一點兒	yi4dian3r5	yìdiǎnr	a bit; a few	1	0	0	0	0
135	有	有	you3	yǒu	have	1	0	0	0	0
136	月	月	yue4	yuè	moon; month	1	0	0	0	0
137	在	在	zai4	zài	at; on; in; indicates an action in progress	1	0	0	0	0
138	再见	再見	zai4jian4	zàijiàn	goodbye; see you later	1	0	0	0	0
139	怎么	怎麼	zen3me5	zěnme	how?	1	0	0	0	0
140	怎么样	怎麼樣	zen3me5yang4	zěnmeyàng	how about?; how is/was it?	1	0	0	0	0
141	这	這	zhe4	zhè	this	1	0	0	0	0
142	中国	中國	Zhong1guo2	Zhōngguó	China	1	0	0	0	0
143	中午	中午	zhong1wu3	zhōngwǔ	noon; midday	1	0	0	0	0
144	住	住	zhu4	zhù	to live; reside; to stop	1	0	0	0	0
145	桌子	桌子	zhuo1zi5	zhuōzi	table; desk	1	0	0	0	0
146	字	字	zi4	zì	letter; character	1	0	0	0	0
147	昨天	昨天	zuo2tian1	zuótiān	yesterday	1	0	0	0	0
148	做	做	zuo4	zuò	do; make	1	0	0	0	0
149	坐	坐	zuo4	zuò	sit	1	0	0	0	0
150	吧	吧	ba5	ba	particle indicating polite suggestion; | onomatopoeia | bar (serving drinks, providing internet access, etc.)	2	0	0	0	0
151	白	白	bai2	bái	white; snowy; pure; bright; empty (Kangxi radical 106)	2	0	0	0	0
152	百	百	bai3	bǎi	hundred	2	0	0	0	0
153	帮助	幫助	bang1zhu4	bāngzhù	help; assist; aid	2	0	0	0	0
154	报纸	報紙	bao4zhi3	bàozhǐ	newspaper	2	0	0	0	0
155	比	比	bi3	bǐ	compare; (indicates comparison) (Kangxi radical 81); to gesticulate as one talks	2	0	0	0	0
156	别	別	bie2	bié	don't do something; don't | depart; | other; difference; distinguish	2	0	0	0	0
157	宾馆	賓館	bin1guan3	bīnguǎn	guesthouse; hotel	2	0	0	0	0
